date,WMT_Inv_Growth,PG_Inv_Growth,AAPL_Inv_Growth,JPM_Inv_Growth,CAT_Inv_Growth,FDX_Inv_Growth,TSLA_Inv_Days,SPX_Guidance_Revision,Duke_CFO_Capex
2020-03-31,4.2,3.8,12.5,2.1,8.4,5.6,82,18,22
2020-06-30,-8.5,-6.2,-15.8,-4.3,-12.1,-9.8,95,42,35
2020-09-30,6.8,5.4,18.2,3.9,9.7,7.2,78,55,48
2020-12-31,3.5,2.9,8.4,1.8,6.2,4.1,71,38,41
2021-03-31,5.1,4.3,14.2,2.8,7.9,6.3,68,61,52
2021-06-30,4.8,3.7,11.6,2.4,7.2,5.8,65,48,49
2021-09-30,2.9,2.1,6.8,1.5,4.8,3.2,72,35,38
2021-12-31,3.2,2.6,9.1,1.9,5.4,4.0,69,52,45
2022-03-31,6.5,5.8,15.3,3.2,10.2,7.8,85,22,28
2022-06-30,7.8,6.9,12.4,4.1,11.5,8.9,92,18,25
2022-09-30,5.2,4.7,8.9,2.8,8.1,6.4,88,29,32
2022-12-31,4.1,3.5,7.2,2.3,6.8,5.1,81,25,29
2023-03-31,3.8,3.2,10.5,2.0,6.5,4.9,76,41,38
2023-06-30,4.5,3.9,9.8,2.5,7.3,5.6,79,32,35
2023-09-30,5.9,5.1,13.2,3.1,9.4,7.2,74,48,42
2023-12-31,4.2,3.6,8.7,2.2,6.9,5.3,77,35,40
2024-03-31,5.3,4.8,11.4,2.9,8.2,6.5,73,52,45
2024-06-30,4.8,4.2,9.6,2.6,7.5,5.9,78,29,38
2024-09-30,3.9,3.4,7.8,2.1,6.3,4.8,82,38,41
2024-12-31,4.6,4.0,10.2,2.7,7.1,5.7,75,45,44
2025-03-31,5.1,4.5,12.8,3.0,8.0,6.4,71,51,47
2025-06-30,4.3,3.8,8.5,2.4,6.8,5.2,79,33,39
2025-09-30,3.7,3.2,7.1,2.0,5.9,4.6,84,28,36
2025-12-31,4.9,4.3,11.5,2.8,7.6,6.1,76,47,43
2026-03-31,4.4,3.9,9.2,2.5,7.0,5.4,80,35,40
