date,ISM_New_Orders,Philly_Capex,UMich_Sentiment,GDP_Growth,Duke_CFO_Capex,SPX_Guidance_Revision,Recession_Next4Q
2006-03-31,57.3,52.1,88.9,5.4,48,52,0
2006-06-30,54.8,49.7,84.2,3.2,42,45,0
2006-09-30,52.1,47.3,85.6,1.8,38,38,0
2006-12-31,49.5,44.8,79.4,2.5,35,32,0
2007-03-31,50.9,46.2,88.4,1.2,41,48,0
2007-06-30,52.4,48.5,85.3,3.1,44,51,0
2007-09-30,49.8,45.1,80.2,-0.2,32,35,0
2007-12-31,47.2,42.3,74.5,-0.8,28,25,1
2008-03-31,48.6,43.8,69.5,-2.3,22,18,1
2008-06-30,49.5,45.2,56.4,-1.1,18,15,1
2008-09-30,43.5,38.7,70.3,-3.7,12,10,1
2008-12-31,32.4,28.5,60.1,-8.4,8,5,1
2009-03-31,36.3,32.1,57.3,-4.5,15,12,0
2009-06-30,42.8,38.4,65.3,0.2,28,25,0
2009-09-30,52.6,47.8,73.5,3.2,38,42,0
2009-12-31,55.9,51.2,72.4,4.1,45,48,0
2010-03-31,59.3,54.8,73.6,2.8,48,52,0
2010-06-30,56.2,51.3,76.3,3.7,42,45,0
2010-09-30,54.4,49.7,68.2,2.8,38,38,0
2010-12-31,58.1,53.2,74.5,2.5,45,48,0
2011-03-31,60.4,55.8,71.8,0.1,42,45,0
2011-06-30,55.3,50.4,71.5,2.9,38,40,0
2011-09-30,52.5,48.1,59.5,0.8,35,35,0
2011-12-31,53.9,49.5,69.9,4.6,42,48,0
2012-03-31,53.4,48.8,76.2,3.2,45,50,0
2012-06-30,49.7,45.2,73.2,1.3,38,38,0
2012-09-30,51.5,47.3,78.3,0.5,42,45,0
2012-12-31,50.7,46.5,72.9,0.1,40,42,0
2013-03-31,51.3,47.8,78.6,2.8,45,48,0
2013-06-30,50.9,46.5,84.1,1.8,42,45,0
2013-09-30,56.2,51.8,77.5,3.1,48,52,0
2013-12-31,56.5,52.3,82.5,3.5,50,55,0
2014-03-31,53.7,49.8,80.0,0.8,45,48,0
2014-06-30,55.4,51.2,82.5,4.6,48,52,0
2014-09-30,56.6,52.8,84.6,4.3,50,55,0
2014-12-31,53.5,49.5,93.6,2.3,45,48,0
2015-03-31,51.5,47.8,93.0,3.2,42,45,0
2015-06-30,53.5,49.5,96.1,2.7,45,48,0
2015-09-30,50.2,46.3,87.2,1.3,38,40,0
2015-12-31,48.0,44.2,92.6,0.1,35,35,0
2016-03-31,51.8,48.0,91.0,2.0,42,45,0
2016-06-30,51.3,47.5,89.5,1.3,40,42,0
2016-09-30,51.5,47.8,87.2,2.0,42,45,0
2016-12-31,54.5,50.8,98.2,1.8,48,52,0
2017-03-31,57.2,53.5,96.9,2.3,50,55,0
2017-06-30,57.8,54.2,95.0,2.2,48,52,0
2017-09-30,60.8,57.5,95.1,3.2,52,58,0
2017-12-31,59.7,56.2,95.9,3.5,50,55,0
2018-03-31,59.3,55.8,101.4,2.5,48,52,0
2018-06-30,60.2,56.8,98.2,3.5,50,55,0
2018-09-30,59.8,56.3,100.1,2.1,48,52,0
2018-12-31,54.3,50.5,98.3,1.1,42,45,0
2019-03-31,55.3,51.8,98.4,3.1,45,48,0
2019-06-30,51.7,48.2,98.2,2.0,42,45,0
2019-09-30,47.8,44.5,93.2,2.8,38,40,0
2019-12-31,47.2,43.8,99.3,1.9,40,42,0
2020-03-31,42.5,35.2,71.8,-5.0,22,18,0
2020-06-30,56.0,48.5,78.1,33.4,35,42,0
2020-09-30,60.4,52.1,80.4,22.3,48,55,0
2020-12-31,57.5,49.8,76.9,4.5,41,38,0
2021-03-31,64.7,58.2,84.9,6.3,52,61,0
2021-06-30,62.1,55.4,85.5,6.7,49,48,0
2021-09-30,61.8,53.9,72.8,2.3,38,35,0
2021-12-31,58.4,51.2,70.6,6.9,45,52,0
2022-03-31,53.8,48.5,65.4,-1.6,28,22,0
2022-06-30,54.2,47.1,50.0,-0.6,25,18,0
2022-09-30,50.9,42.3,58.6,3.2,32,29,0
2022-12-31,45.1,38.7,59.7,2.7,29,25,0
2023-03-31,51.2,46.8,62.0,2.2,38,41,0
2023-06-30,46.3,41.5,64.4,2.1,35,32,0
2023-09-30,49.0,44.2,67.9,4.9,42,48,0
2023-12-31,47.8,43.1,69.7,3.4,40,35,0
2024-03-31,51.5,47.8,79.4,1.6,45,52,0
2024-06-30,48.7,44.5,68.2,3.0,38,29,0
2024-09-30,47.2,42.8,70.1,2.8,41,38,0
2024-12-31,49.8,46.2,74.5,2.4,44,45,0
2025-03-31,52.3,48.9,76.8,2.1,47,51,0
2025-06-30,50.1,45.7,71.2,2.5,39,33,0
2025-09-30,48.9,44.1,68.5,2.3,36,28,0
2025-12-31,51.8,47.5,73.4,2.6,43,47,0
2026-03-31,49.5,45.2,70.8,2.0,40,35,0
